Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ 243648V         ,P3.4               ,PI504657           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    700,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   5009,  59099, -54090,   6807,    101,      0,     18,      0,    270,    467,  20598,   1345,   1536,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    273,                   ,    875,     36,     50,       ,OPP    ,     36,   2.02,   2.31,    154,     50,     44,    111,   4.65,Part ch,       ,12/30/2021 09:51:16,12/30/2021 10:35:16,      0,YES    ,
    272,                   ,    875,     36,     50,       ,OPP    ,     35,   2.01,   2.28,    154,     50,     35,     86,   3.57,Part ch,       ,12/30/2021 12:30:16,12/30/2021 13:04:16,      0,YES    ,
    271,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.47,     44,     50,    248,    521,  22.51,Full ch,       ,12/30/2021 13:47:16,12/30/2021 20:11:16,      0,NO     ,
    270,                   ,    875,     36,     50,       ,OPP    ,     67,   2.08,   2.40,    154,     50,     34,     85,   3.65,Part ch,       ,12/31/2021 07:51:16,12/31/2021 08:25:16,      0,NO     ,
    269,                   ,    875,     36,     50,       ,OPP    ,     64,   2.08,   2.41,    154,     50,     46,    115,   4.94,Part ch,       ,12/31/2021 09:53:16,12/31/2021 10:39:16,      0,NO     ,
    268,                   ,    875,     36,     50,       ,OPP    ,     54,   2.06,   2.47,     44,     50,    155,    312,  13.59,Full ch,       ,12/31/2021 13:43:16,12/31/2021 20:25:16,      0,NO     ,
    267,                   ,    875,     36,     50,       ,OPP    ,     30,   2.01,   2.28,    154,     50,     12,     28,   1.16,Part ch,       ,01/01/2022 04:11:16,01/01/2022 04:23:16,      0,YES    ,
    266,                   ,    875,     36,     50,       ,OPP    ,     51,   2.05,   2.33,    154,     50,     38,     95,   4.03,Part ch,       ,01/01/2022 05:15:16,01/01/2022 05:53:16,      0,NO     ,
    265,                   ,    875,     36,     50,       ,OPP    ,     49,   2.04,   2.32,    155,     50,     29,     72,   3.02,Part ch,       ,01/01/2022 07:43:16,01/01/2022 08:12:16,      0,NO     ,
    264,                   ,    875,     36,     50,       ,OPP    ,     47,   2.04,   2.33,    155,     50,     45,    114,   4.80,Part ch,       ,01/01/2022 09:50:16,01/01/2022 10:35:16,      0,NO     ,
    263,                   ,    875,     36,     50,       ,OPP    ,     40,   2.02,   2.47,     44,     50,    208,    440,  19.06,Full ch,       ,01/01/2022 13:34:16,01/01/2022 20:16:16,      0,NO     ,
    262,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.43,    155,     50,     79,    200,   8.58,Part ch,       ,01/02/2022 04:35:16,01/02/2022 05:54:16,      0,YES    ,
    261,                   ,    875,     36,     50,       ,OPP    ,     59,   2.07,   2.35,    154,     50,     23,     57,   2.42,Part ch,       ,01/02/2022 07:53:16,01/02/2022 08:15:16,      0,NO     ,
    260,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.37,    154,     50,     42,    106,   4.52,Part ch,       ,01/02/2022 09:57:16,01/02/2022 10:39:16,      0,NO     ,
    259,                   ,    875,     36,     50,       ,OPP    ,     40,   2.02,   2.47,     43,     50,    201,    412,  17.88,Full ch,       ,01/02/2022 13:42:16,01/02/2022 17:07:16,      0,NO     ,
