Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ24V150A          ,P3.4               ,PI504655           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     50,IONIC  ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   9292,  62161, -52869,   6818,    134,      0,     28,      0,    322,   1366,  20747,   1086,   7698,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,       ,     24,     50,       ,COLD   ,     36,   2.02,   2.40,    150,     50,     22,     46,   1.36,Part ch,       ,03/22/2022 20:23:16,03/22/2022 20:45:16,      0,YES    ,
    299,                   ,       ,     24,     50,       ,COLD   ,     55,   2.06,   2.93,      0,     50,     40,     78,   2.29,Full ch,       ,03/22/2022 21:09:16,03/22/2022 21:48:16,  16384,NO     ,
    298,                   ,       ,     24,     50,       ,COLD   ,     36,   2.02,   2.36,    150,     50,     12,     24,   0.68,Part ch,       ,03/23/2022 00:22:16,03/23/2022 00:34:16,      0,YES    ,
    297,                   ,       ,     24,     50,       ,COLD   ,     35,   2.01,   2.43,     44,     50,     23,     23,   0.68,Part ch,       ,03/23/2022 01:54:16,03/23/2022 02:17:16,      0,YES    ,
    296,                   ,       ,     24,     50,       ,COLD   ,     38,   2.02,   2.37,    150,     50,      9,     15,   0.45,Part ch,       ,03/23/2022 02:20:16,03/23/2022 02:29:16,      0,YES    ,
    295,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.44,    132,     50,     32,     69,   2.03,Part ch,       ,03/23/2022 03:01:16,03/23/2022 03:32:16,      0,YES    ,
    294,                   ,       ,     24,     50,       ,COLD   ,     29,   2.00,   2.67,      0,     50,     28,     27,   0.81,Full ch,       ,03/23/2022 04:28:16,03/23/2022 04:55:16,  16384,NO     ,
    293,                   ,       ,     24,     50,       ,COLD   ,     67,   2.08,   3.76,      0,     50,     27,     32,   0.96,Full ch,       ,03/23/2022 05:38:16,03/23/2022 06:04:16,  16384,NO     ,
    292,                   ,       ,     24,     50,       ,COLD   ,     71,   2.09,   2.43,     24,     50,      5,      2,   0.06,Full ch,       ,03/23/2022 06:45:16,03/23/2022 07:21:16,      0,NO     ,
    291,                   ,       ,     24,     50,       ,COLD   ,      9,   1.97,   2.43,     55,     50,     17,     23,   0.68,Part ch,       ,03/23/2022 07:21:16,03/23/2022 07:38:16,      0,YES    ,
    290,                   ,       ,     24,     50,       ,COLD   ,     58,   2.07,   2.42,     97,     50,     10,     15,   0.46,Part ch,       ,03/23/2022 08:58:16,03/23/2022 09:07:16,      0,YES    ,
