Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V240A          ,P3.4               ,RA518168           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    4.0,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   6537,  62054, -55517,   6952,     30,      0,     17,     13,    287,    867,  20659,     87,   1634,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,    875,     36,     50,       ,OPP    ,     38,   2.02,   2.36,    153,     50,     59,    147,   6.23,Part ch,       ,02/23/2022 17:38:16,02/23/2022 18:37:16,      0,YES    ,
    299,                   ,       ,     36,     50,       ,COLD   ,     37,   2.02,   2.43,     26,     50,    333,    499,  21.63,Part ch,       ,02/23/2022 22:29:16,02/24/2022 04:02:16,      0,YES    ,
    298,                   ,    875,     36,     50,       ,OPP    ,     25,   2.00,   2.32,    153,     50,     37,     92,   3.86,Part ch,       ,02/24/2022 08:20:16,02/24/2022 08:56:16,      0,YES    ,
    297,                   ,    875,     36,     50,       ,OPP    ,      5,   1.93,   2.32,    153,     50,     54,    135,   5.61,Part ch,       ,02/24/2022 11:31:16,02/24/2022 12:24:16,      0,YES    ,
    296,                   ,    875,     36,     50,       ,OPP    ,      5,   1.91,   2.30,    154,     50,     50,    126,   5.21,Part ch,       ,02/24/2022 12:48:16,02/24/2022 13:37:16,      0,YES    ,
    295,                   ,    875,     36,     50,       ,OPP    ,     15,   1.98,   2.24,    155,     50,      4,      6,   0.28,Part ch,       ,02/24/2022 14:54:16,02/24/2022 14:58:16,      0,YES    ,
    294,                   ,    875,     36,     50,       ,OPP    ,     32,   2.01,   2.26,    153,     50,     17,     39,   1.63,Part ch,       ,02/24/2022 15:01:16,02/24/2022 15:17:16,      0,YES    ,
    293,                   ,    875,     36,     50,       ,OPP    ,      5,   1.96,   2.28,    153,     50,     41,    103,   4.25,Part ch,       ,02/24/2022 16:04:16,02/24/2022 16:45:16,      0,YES    ,
    292,                   ,    875,     36,     50,       ,OPP    ,     44,   2.03,   2.35,    154,     50,     60,    151,   6.36,Part ch,       ,02/24/2022 17:34:16,02/24/2022 18:34:16,      0,YES    ,
    291,                   ,       ,     36,     50,       ,COLD   ,     39,   2.02,   2.42,     26,     50,    329,    500,  21.72,Part ch,       ,02/24/2022 22:41:16,02/25/2022 04:10:16,      0,YES    ,
    290,                   ,    875,     36,     50,       ,OPP    ,      5,   1.96,   2.40,    153,     50,     89,    225,   9.55,Part ch,       ,02/25/2022 09:43:16,02/25/2022 11:12:16,      0,YES    ,
    289,                   ,    875,     36,     50,       ,OPP    ,      5,   1.77,   2.35,    154,     50,    104,    264,  11.03,Part ch,       ,02/25/2022 11:19:16,02/25/2022 13:04:16,      0,NO     ,
    288,                   ,    875,     36,     50,       ,OPP    ,     99,   2.15,   2.39,    153,     50,     22,     54,   2.35,Part ch,       ,02/25/2022 13:05:16,02/25/2022 13:28:16,      0,YES    ,
    287,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.32,    153,     50,     35,     87,   3.65,Part ch,       ,02/25/2022 16:18:16,02/25/2022 16:53:16,      0,YES    ,
    286,                   ,       ,     36,     50,       ,COLD   ,     56,   2.06,   2.33,    153,     50,     15,     29,   1.24,Part ch,       ,02/25/2022 22:43:16,02/25/2022 22:57:16,      0,YES    ,
    285,                   ,       ,     36,     50,       ,COLD   ,     84,   2.12,   2.44,     25,     50,    314,    351,  15.43,Full ch,       ,02/25/2022 22:59:16,02/27/2022 00:04:16,    512,NO     ,
    284,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.21,   2.47,     16,     50,    480,    181,   8.26,Full ch,DF5    ,02/27/2022 00:04:16,02/28/2022 02:16:16,    512,NO     ,
    283,                   ,       ,     36,     50,       ,COLD   ,     74,   2.10,   2.56,     25,     50,     68,     31,   1.41,Full ch,       ,02/28/2022 02:41:16,02/28/2022 03:53:16,      0,NO     ,
    282,                   ,    875,     36,     50,       ,OPP    ,      5,   1.93,   2.35,    153,     50,     56,    140,   5.88,Part ch,       ,02/28/2022 08:29:16,02/28/2022 09:24:16,      0,YES    ,
    281,                   ,    875,     36,     50,       ,OPP    ,      5,   1.95,   2.27,    152,     50,     14,     33,   1.36,Part ch,       ,02/28/2022 10:14:16,02/28/2022 10:27:16,      0,YES    ,
    280,                   ,    875,     36,     50,       ,OPP    ,     15,   1.98,   2.46,    118,     50,    160,    395,  17.00,Part ch,       ,02/28/2022 10:59:16,02/28/2022 13:39:16,      0,YES    ,
    279,                   ,    875,     36,     50,       ,OPP    ,     71,   2.09,   2.47,    112,     50,     46,    105,   4.67,Part ch,       ,02/28/2022 18:17:16,02/28/2022 19:03:16,      0,YES    ,
    278,                   ,       ,     36,     50,       ,COLD   ,     58,   2.07,   2.46,     25,     50,    280,    324,  14.18,Full ch,       ,02/28/2022 22:26:16,03/01/2022 03:36:16,      0,NO     ,
    277,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.21,   2.48,     29,     50,     27,     13,   0.58,Part ch,       ,03/01/2022 03:36:16,03/01/2022 04:03:16,      0,NO     ,
    276,                   ,    875,     36,     50,       ,OPP    ,      5,   1.90,   2.34,    152,     50,     54,    134,   5.62,Part ch,       ,03/01/2022 07:41:16,03/01/2022 08:34:16,      0,YES    ,
    275,                   ,    875,     36,     50,       ,OPP    ,     24,   1.99,   2.33,    152,     50,     58,    145,   6.08,Part ch,       ,03/01/2022 09:07:16,03/01/2022 10:05:16,      0,YES    ,
    274,                   ,    875,     36,     50,       ,OPP    ,     15,   1.98,   2.28,    152,     50,     33,     79,   3.26,Part ch,       ,03/01/2022 13:11:16,03/01/2022 13:43:16,      0,YES    ,
    273,                   ,    875,     36,     50,       ,OPP    ,     19,   1.98,   2.30,    153,     50,     36,     90,   3.74,Part ch,       ,03/01/2022 15:59:16,03/01/2022 16:34:16,      0,YES    ,
    272,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     41,   2.03,   2.35,    153,     50,     46,    113,   4.77,Part ch,       ,03/01/2022 16:51:16,03/01/2022 17:37:16,      0,YES    ,
    271,                   ,    875,     36,     50,       ,OPP    ,     21,   1.99,   2.32,    154,     50,     53,    132,   5.52,Part ch,       ,03/01/2022 18:12:16,03/01/2022 19:05:16,      0,YES    ,
    270,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     60,   2.07,   2.46,    126,     50,     89,    218,   9.57,Part ch,       ,03/01/2022 19:22:16,03/01/2022 20:51:16,      0,YES    ,
    269,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     99,   2.15,   2.47,     44,     50,     62,     85,   3.82,Full ch,       ,03/01/2022 20:54:16,03/01/2022 22:00:16,      0,NO     ,
    268,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     99,   2.21,   2.54,     33,     50,     67,     37,   1.68,Full ch,       ,03/01/2022 22:00:16,03/01/2022 23:15:16,      0,NO     ,
    267,RTK00077421        ,    875,     36,     50,OPP    ,EQUAL  ,     99,   2.23,   2.48,     21,     50,    268,    167,   7.71,Part ch,       ,03/01/2022 23:15:16,03/02/2022 03:43:16,      0,NO     ,
    266,                   ,    875,     36,     50,       ,OPP    ,      5,   1.85,   2.34,    152,     50,     75,    188,   7.84,Part ch,       ,03/02/2022 07:02:16,03/02/2022 08:17:16,      0,YES    ,
    265,                   ,    875,     36,     50,       ,OPP    ,     17,   1.98,   2.47,     97,     50,    204,    487,  21.06,Part ch,       ,03/02/2022 10:43:16,03/02/2022 14:07:16,      0,YES    ,
    264,                   ,    875,     36,     50,       ,OPP    ,     66,   2.08,   2.47,    153,     50,     43,    108,   4.72,Part ch,       ,03/02/2022 16:05:16,03/02/2022 16:48:16,      0,YES    ,
    263,                   ,    875,     36,     50,       ,OPP    ,     79,   2.11,   2.47,     90,     50,     63,    128,   5.74,Part ch,       ,03/02/2022 17:37:16,03/02/2022 18:40:16,      0,YES    ,
    262,                   ,       ,     36,     50,       ,COLD   ,     79,   2.11,   2.44,     25,     50,    281,    251,  11.05,Full ch,       ,03/02/2022 22:30:16,03/03/2022 04:00:16,      0,NO     ,
    261,                   ,    875,     36,     50,       ,OPP    ,     19,   1.98,   2.34,    152,     50,     48,    118,   4.96,Part ch,       ,03/03/2022 08:14:16,03/03/2022 09:01:16,      0,YES    ,
    260,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.37,    154,     50,     62,    156,   6.62,Part ch,       ,03/03/2022 09:06:16,03/03/2022 10:07:16,      0,YES    ,
    259,                   ,    875,     36,     50,       ,OPP    ,     20,   1.99,   2.34,    152,     50,     83,    206,   8.63,Part ch,       ,03/03/2022 11:05:16,03/03/2022 12:28:16,      0,YES    ,
    258,                   ,    875,     36,     50,       ,OPP    ,     37,   2.02,   2.39,    153,     50,     82,    205,   8.67,Part ch,       ,03/03/2022 13:10:16,03/03/2022 14:31:16,      0,YES    ,
    257,                   ,    875,     36,     50,       ,OPP    ,     56,   2.06,   2.40,    154,     50,     50,    126,   5.39,Part ch,       ,03/03/2022 15:52:16,03/03/2022 16:42:16,      0,YES    ,
    256,                   ,    875,     36,     50,       ,OPP    ,     53,   2.06,   2.40,    153,     50,     50,    125,   5.34,Part ch,       ,03/03/2022 17:46:16,03/03/2022 18:36:16,      0,YES    ,
