Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V240A          ,P3.4               ,RA518167           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.7,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   4152,  60246, -56094,   6842,     43,      0,     10,      0,    286,    756,  20655,    135,   1536,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    272,                   ,    875,     36,     50,       ,OPP    ,      5,   1.95,   2.34,    155,     50,     48,    124,   5.17,Part ch,       ,04/20/2016 07:36:16,04/20/2016 08:24:16,      0,YES    ,
    271,                   ,    875,     36,     50,       ,OPP    ,      5,   1.94,   2.41,    155,     50,     74,    193,   8.19,Part ch,       ,04/20/2016 09:44:16,04/20/2016 10:59:16,      0,NO     ,
    270,                   ,    875,     36,     50,       ,OPP    ,     29,   2.00,   2.47,     43,     50,    258,    440,  19.47,Full ch,       ,04/20/2016 13:32:16,04/20/2016 17:57:16,      0,NO     ,
    269,                   ,       ,     36,     50,       ,COLD   ,     28,   2.00,   2.30,    160,     50,     48,    119,   4.93,Part ch,       ,04/21/2016 00:50:16,04/21/2016 01:37:16,      0,YES    ,
    268,                   ,    875,     36,     50,       ,OPP    ,     40,   2.02,   2.33,    160,     50,     22,     56,   2.37,Part ch,       ,04/21/2016 04:53:16,04/21/2016 05:15:16,      0,YES    ,
    267,                   ,    875,     36,     50,       ,OPP    ,     25,   2.00,   2.31,    154,     50,     52,    134,   5.59,Part ch,       ,04/21/2016 07:31:16,04/21/2016 08:22:16,      0,YES    ,
    266,                   ,    875,     36,     50,       ,OPP    ,     45,   2.03,   2.37,    155,     50,     68,    176,   7.46,Part ch,       ,04/21/2016 09:14:16,04/21/2016 10:22:16,      0,YES    ,
    265,                   ,    875,     36,     50,       ,OPP    ,     35,   2.01,   2.49,     72,     50,    193,    432,  18.93,Part ch,       ,04/21/2016 14:43:16,04/21/2016 17:56:16,      0,YES    ,
    264,                   ,       ,     36,     50,       ,COLD   ,     13,   1.97,   2.26,    158,     50,     21,     47,   1.93,Part ch,       ,04/21/2016 23:52:16,04/22/2016 00:13:16,      0,YES    ,
    263,                   ,    875,     36,     50,       ,OPP    ,     37,   2.02,   2.26,    159,     50,      5,     11,   0.46,Part ch,       ,04/22/2016 04:52:16,04/22/2016 04:57:16,      0,YES    ,
    262,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     31,   2.01,   2.28,    160,     50,     14,     32,   1.34,Part ch,       ,04/22/2016 05:06:16,04/22/2016 05:20:16,      0,NO     ,
    261,                   ,    875,     36,     50,       ,OPP    ,     24,   1.99,   2.29,    155,     50,     30,     76,   3.18,Part ch,       ,04/22/2016 05:30:16,04/22/2016 06:00:16,      0,YES    ,
    260,                   ,    875,     36,     50,       ,OPP    ,      5,   1.94,   2.32,    155,     50,     67,    172,   7.13,Part ch,       ,04/22/2016 07:16:16,04/22/2016 08:22:16,      0,YES    ,
    259,                   ,    875,     36,     50,       ,OPP    ,      5,   1.96,   2.31,    154,     50,     55,    141,   5.84,Part ch,       ,04/22/2016 12:16:16,04/22/2016 13:11:16,      0,YES    ,
    258,                   ,    875,     36,     50,       ,OPP    ,     44,   2.03,   2.47,     44,     50,    312,    537,  23.67,Part ch,       ,04/22/2016 14:16:16,04/22/2016 19:27:16,      0,YES    ,
    257,                   ,    875,     36,     50,       ,OPP    ,     42,   2.03,   2.48,    143,     50,     97,    248,  10.76,Part ch,       ,04/23/2016 06:34:16,04/23/2016 08:11:16,      0,YES    ,
    256,                   ,    875,     36,     50,       ,OPP    ,     31,   2.01,   2.46,     43,     50,    170,    345,  15.15,Full ch,       ,04/23/2016 09:40:16,04/23/2016 22:00:16,      0,NO     ,
    255,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.18,   2.47,     24,     50,    480,    272,  12.53,Full ch,       ,04/24/2016 00:04:16,04/24/2016 19:43:16,      0,NO     ,
    254,                   ,       ,     36,     50,       ,COLD   ,      5,   1.91,   2.36,    159,     50,     80,    182,   7.65,Part ch,DF4    ,04/25/2016 00:26:16,04/25/2016 01:46:16,   4096,YES    ,
    253,                   ,    875,     36,     50,       ,OPP    ,     71,   2.09,   2.48,    147,     50,     43,    109,   4.85,Part ch,       ,04/25/2016 04:49:16,04/25/2016 05:32:16,      0,NO     ,
    252,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.46,     43,     50,    221,    453,  19.89,Full ch,       ,04/25/2016 13:45:16,04/25/2016 17:58:16,      0,NO     ,
    251,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     30,   2.01,   2.31,    154,     50,     61,    159,   6.61,Part ch,       ,04/26/2016 01:32:16,04/26/2016 02:33:16,      0,YES    ,
    250,                   ,    875,     36,     50,       ,OPP    ,     15,   1.98,   2.28,    159,     50,     27,     70,   2.90,Part ch,       ,04/26/2016 04:03:16,04/26/2016 04:30:16,      0,YES    ,
    249,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     33,   2.01,   2.31,    155,     50,     44,    111,   4.63,Part ch,       ,04/26/2016 04:47:16,04/26/2016 05:31:16,      0,YES    ,
    248,                   ,    875,     36,     50,       ,OPP    ,      5,   1.95,   2.29,    154,     50,     50,    126,   5.21,Part ch,       ,04/26/2016 05:32:16,04/26/2016 06:22:16,      0,YES    ,
    247,                   ,    875,     36,     50,       ,OPP    ,     33,   2.01,   2.34,    155,     50,     67,    173,   7.25,Part ch,       ,04/26/2016 07:17:16,04/26/2016 08:24:16,      0,YES    ,
    246,                   ,    875,     36,     50,       ,OPP    ,     55,   2.06,   2.47,     43,     50,    213,    405,  17.91,Full ch,       ,04/26/2016 13:44:16,04/26/2016 17:54:16,      0,NO     ,
    245,                   ,       ,     36,     50,       ,COLD   ,      5,   1.87,   2.30,    154,     50,     62,    135,   5.54,Part ch,DF4    ,04/27/2016 03:19:16,04/27/2016 04:21:16,   4096,YES    ,
    244,                   ,    875,     36,     50,       ,OPP    ,     49,   2.04,   2.32,    160,     50,     12,     29,   1.22,Part ch,       ,04/27/2016 04:51:16,04/27/2016 05:03:16,      0,NO     ,
    243,                   ,    875,     36,     50,       ,OPP    ,     29,   2.00,   2.30,    155,     50,     37,     95,   3.97,Part ch,       ,04/27/2016 07:46:16,04/27/2016 08:23:16,      0,YES    ,
    242,                   ,       ,     36,     50,       ,COLD   ,     34,   2.01,   2.31,    158,     50,     42,    101,   4.21,Part ch,       ,04/28/2016 00:13:16,04/28/2016 00:55:16,      0,YES    ,
    241,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     30,   2.01,   2.28,    159,     50,     11,     28,   1.19,Part ch,       ,04/28/2016 01:53:16,04/28/2016 02:04:16,      0,YES    ,
    240,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     48,   2.04,   2.33,    154,     50,     66,    171,   7.19,Part ch,       ,04/28/2016 02:12:16,04/28/2016 03:17:16,      0,YES    ,
    239,                   ,       ,     36,     50,       ,COLD   ,      5,   1.93,   2.27,    155,     50,     47,     95,   3.89,Part ch,DF4    ,04/28/2016 03:19:16,04/28/2016 04:06:16,   4096,YES    ,
