Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ24V080A          ,P3.4               ,PI504659           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     50,IONIC  ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
  14949,  64479, -49530,   6891,     14,      1,     28,     55,    383,   2919,  20818,    138,   2067,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,       ,     24,     50,       ,COLD   ,     50,   2.04,   2.38,      0,     50,    146,    102,   2.97,Full ch,       ,01/07/2016 06:14:16,01/07/2016 08:39:16,  16384,NO     ,
    299,                   ,       ,     24,     50,       ,COLD   ,     50,   2.04,   3.31,      0,     50,    220,     69,   2.03,Full ch,       ,01/07/2016 12:45:16,01/07/2016 16:24:16,  16384,NO     ,
    298,                   ,       ,     24,     50,       ,COLD   ,     36,   2.02,   2.43,     35,     50,     95,     78,   2.28,Full ch,DF7    ,01/07/2016 18:35:16,01/07/2016 20:45:16,   1280,NO     ,
    297,                   ,       ,     24,     50,       ,COLD   ,     34,   2.01,   2.30,     79,     50,     10,      9,   0.27,Part ch,       ,01/08/2016 02:11:16,01/08/2016 02:20:16,      0,YES    ,
    296,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.30,     79,     50,      4,      4,   0.10,Part ch,       ,01/08/2016 02:37:16,01/08/2016 02:42:16,      0,YES    ,
    295,                   ,       ,     24,     50,       ,COLD   ,     38,   2.02,   2.30,     79,     50,      6,      6,   0.16,Part ch,       ,01/08/2016 02:51:16,01/08/2016 02:57:16,      0,YES    ,
    294,                   ,       ,     24,     50,       ,COLD   ,     28,   2.00,   2.33,     79,     50,     41,     51,   1.43,Part ch,       ,01/08/2016 03:25:16,01/08/2016 04:06:16,      0,YES    ,
    293,                   ,       ,     24,     50,       ,COLD   ,     67,   2.08,   2.43,     78,     50,     54,     67,   1.94,Part ch,       ,01/08/2016 04:08:16,01/08/2016 05:01:16,      0,YES    ,
    292,                   ,       ,     24,     50,       ,COLD   ,     58,   2.07,   2.43,     77,     50,     22,     25,   0.73,Part ch,       ,01/08/2016 05:54:16,01/08/2016 06:15:16,      0,YES    ,
    291,                   ,       ,     24,     50,       ,COLD   ,     60,   2.07,   2.43,     57,     50,     36,     39,   1.15,Part ch,       ,01/08/2016 06:33:16,01/08/2016 07:09:16,      0,YES    ,
    290,                   ,       ,     24,     50,       ,COLD   ,     52,   2.06,   2.32,     80,     50,     22,     25,   0.69,Part ch,       ,01/08/2016 07:10:16,01/08/2016 07:32:16,      0,YES    ,
    289,                   ,       ,     24,     50,       ,COLD   ,     17,   1.98,   2.21,      0,     50,     73,     52,   1.51,Full ch,       ,01/08/2016 07:41:16,01/08/2016 08:53:16,  16384,NO     ,
    288,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.21,      0,     50,     56,     24,   0.70,Full ch,       ,01/08/2016 09:18:16,01/08/2016 10:13:16,  16384,NO     ,
