Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ24V150A          ,P3.4               ,PI504655           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     50,IONIC  ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   9430,  62263, -52833,   6819,    134,      0,     28,      0,    322,   1367,  20748,   1086,   7698,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    272,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.38,    150,     50,     11,     20,   0.59,Part ch,       ,04/05/2022 23:50:16,04/06/2022 00:01:16,      0,YES    ,
    271,                   ,       ,     24,     50,       ,COLD   ,     35,   2.01,   2.42,    113,     50,     48,    106,   3.12,Part ch,       ,04/06/2022 02:19:16,04/06/2022 03:06:16,      0,YES    ,
    270,                   ,       ,     24,     50,       ,COLD   ,     79,   2.11,   2.25,      0,     50,     37,     65,   1.93,Full ch,       ,04/06/2022 08:34:16,04/06/2022 09:10:16,  16384,NO     ,
    269,                   ,       ,     24,     50,       ,COLD   ,     77,   2.10,   2.43,     65,     50,     42,     71,   2.09,Part ch,       ,04/06/2022 11:13:16,04/06/2022 11:54:16,      0,NO     ,
    268,                   ,       ,     24,     50,       ,COLD   ,     76,   2.10,   2.42,     85,     50,     23,     43,   1.28,Part ch,       ,04/06/2022 12:45:16,04/06/2022 13:08:16,      0,NO     ,
    267,                   ,       ,     24,     50,       ,COLD   ,     49,   2.04,   2.22,      0,     50,     76,    101,   2.98,Full ch,       ,04/06/2022 17:49:16,04/06/2022 19:03:16,  16384,NO     ,
    266,                   ,       ,     24,     50,       ,COLD   ,     72,   2.09,   2.71,     23,     50,     68,     26,   0.84,Full ch,       ,04/06/2022 19:38:16,04/07/2022 02:09:16,      0,NO     ,
    265,                   ,       ,     24,     50,       ,COLD   ,     73,   2.10,   2.40,    150,     50,      8,     14,   0.42,Part ch,       ,04/07/2022 03:35:16,04/07/2022 03:43:16,      0,YES    ,
    264,                   ,       ,     24,     50,       ,COLD   ,     57,   2.06,   2.21,      0,     50,    115,     71,   2.11,Full ch,       ,04/07/2022 04:17:16,04/07/2022 06:11:16,    512,NO     ,
    263,                   ,       ,     24,     50,       ,COLD   ,     51,   2.05,   2.42,    149,     50,     20,     40,   1.17,Part ch,       ,04/07/2022 13:04:16,04/07/2022 13:23:16,      0,NO     ,
    262,                   ,       ,     24,     50,       ,COLD   ,     35,   2.01,   2.43,     78,     50,     66,    132,   3.89,Part ch,       ,04/07/2022 15:18:16,04/07/2022 16:24:16,      0,YES    ,
    261,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.74,     23,     50,     70,     29,   0.93,Full ch,       ,04/07/2022 18:36:16,04/08/2022 01:56:16,    512,NO     ,
    260,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.37,    150,     50,     21,     44,   1.26,Part ch,       ,04/08/2022 05:22:16,04/08/2022 05:43:16,      0,NO     ,
    259,                   ,       ,     24,     50,       ,COLD   ,     46,   2.04,   2.34,    149,     50,     11,     20,   0.57,Part ch,       ,04/08/2022 12:55:16,04/08/2022 13:05:16,      0,NO     ,
    258,                   ,       ,     24,     50,       ,COLD   ,     43,   2.03,   2.40,    150,     50,     26,     55,   1.60,Part ch,       ,04/08/2022 14:30:16,04/08/2022 14:56:16,      0,NO     ,
    257,                   ,       ,     24,     50,       ,COLD   ,     33,   2.01,   2.43,     93,     50,     49,    102,   2.99,Part ch,       ,04/08/2022 16:08:16,04/08/2022 16:57:16,      0,YES    ,
    256,                   ,       ,     24,     50,       ,COLD   ,     65,   2.08,   2.43,     76,     50,     20,     30,   0.88,Part ch,       ,04/08/2022 17:31:16,04/08/2022 17:52:16,      0,NO     ,
    255,                   ,       ,     24,     50,       ,COLD   ,     77,   2.10,   2.29,      0,     50,     90,     54,   1.60,Full ch,       ,04/08/2022 18:51:16,04/08/2022 20:20:16,  16384,NO     ,
    254,                   ,       ,     24,     50,       ,COLD   ,     55,   2.06,   2.42,    106,     50,     10,     20,   0.59,Part ch,       ,04/08/2022 22:24:16,04/08/2022 22:34:16,      0,YES    ,
    253,                   ,       ,     24,     50,       ,COLD   ,     52,   2.06,   2.43,     61,     50,     36,     58,   1.72,Part ch,       ,04/08/2022 23:27:16,04/09/2022 00:03:16,      0,YES    ,
    252,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.27,      0,     50,     27,     44,   1.29,Full ch,       ,04/09/2022 04:34:16,04/09/2022 05:00:16,  16384,NO     ,
    251,                   ,       ,     24,     50,       ,COLD   ,     48,   2.04,   2.43,     49,     50,     49,     73,   2.16,Part ch,       ,04/09/2022 07:00:16,04/09/2022 07:49:16,      0,YES    ,
    250,                   ,       ,     24,     50,       ,COLD   ,     67,   2.08,   4.04,      0,     50,     65,     44,   1.29,Full ch,       ,04/09/2022 08:25:16,04/09/2022 09:30:16,  16384,NO     ,
    249,                   ,       ,     24,     50,       ,COLD   ,     52,   2.06,   2.42,    107,     50,     32,     66,   1.96,Part ch,       ,04/09/2022 10:00:16,04/09/2022 10:32:16,      0,NO     ,
