Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P360               ,PI504325           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     70,OPP    ,      0,      0,    5.0,  2.250,   27.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
    562,  57354, -56792,   2592,     15,      0,      3,      0,     35,    125,     10,     20,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    170,                   ,    600,     24,     33,       ,COLD   ,     12,   1.97,   2.60,     22,     33,    494,    490,  14.09,Full ch,       ,03/24/2020 16:17:00,03/25/2020 07:29:00,      0,
    169,                   ,    600,     24,     33,       ,COLD   ,     66,   2.08,   2.61,     22,     33,    252,    238,   7.01,Full ch,       ,03/25/2020 16:16:00,03/26/2020 07:42:00,      0,
    168,                   ,    600,     24,     33,       ,COLD   ,     28,   2.00,   2.48,     69,     33,     41,     52,   1.54,Part ch,       ,03/26/2020 10:35:00,03/26/2020 11:16:00,      0,
    167,                   ,    600,     24,     33,       ,COLD   ,     44,   2.03,   2.49,     22,     33,    105,     46,   1.38,Full ch,       ,03/26/2020 20:15:00,03/27/2020 01:19:00,      0,
    166,                   ,    600,     24,     33,       ,COLD   ,     33,   2.01,   2.50,     22,     33,    176,     94,   2.81,Full ch,       ,03/31/2020 11:29:00,03/31/2020 16:08:00,      0,
    165,                   ,    600,     24,     33,       ,COLD   ,     27,   2.00,   2.48,     57,     33,    205,    187,   5.64,Full ch,DF7    ,03/31/2020 16:09:00,03/31/2020 22:58:00,    256,
    164,                   ,    600,     24,     33,       ,COLD   ,     42,   2.03,   2.58,     22,     33,    376,    345,  10.09,Full ch,DFC    ,04/02/2020 16:21:00,04/03/2020 07:34:00,      2,
    163,                   ,    600,     24,     33,       ,COLD   ,     57,   2.07,   2.62,     22,     33,    250,    226,   6.68,Full ch,DFC    ,04/06/2020 15:50:00,04/07/2020 07:44:00,      2,
    162,                   ,    600,     24,     33,       ,COLD   ,     13,   1.97,   2.38,     77,     33,     21,     27,   0.77,Part ch,       ,04/07/2020 10:51:00,04/07/2020 11:12:00,      0,
    161,                   ,    600,     24,     33,       ,COLD   ,     27,   2.00,   2.50,     22,     33,    147,     87,   2.62,Full ch,       ,04/09/2020 11:17:00,04/09/2020 15:11:00,    512,
    160,                   ,    600,     24,     33,       ,COLD   ,     10,   1.97,   2.58,     22,     33,    519,    499,  14.43,Full ch,       ,04/09/2020 15:12:00,04/10/2020 03:04:00,      0,
    159,                   ,    600,     24,     33,       ,COLD   ,     99,   2.15,   2.48,     26,     33,      2,      1,   0.05,Full ch,       ,04/10/2020 03:08:00,04/10/2020 07:40:00,      0,
    158,                   ,    600,     24,     33,       ,COLD   ,     36,   2.02,   2.50,     22,     33,    141,     72,   2.16,Full ch,       ,04/13/2020 14:48:00,04/14/2020 15:58:00,      0,
    157,                   ,    600,     24,     33,       ,COLD   ,     48,   2.04,   2.51,     22,     33,     78,     30,   0.93,Full ch,       ,04/14/2020 15:58:00,04/14/2020 23:15:00,      0,
    156,                   ,    600,     24,     33,       ,COLD   ,     31,   2.01,   2.52,     22,     33,    100,     50,   1.51,Full ch,       ,04/15/2020 11:33:00,04/15/2020 13:55:00,      0,
    155,                   ,    600,     24,     33,       ,COLD   ,      9,   1.97,   2.22,     78,     33,     33,     43,   1.16,Part ch,DF4    ,04/16/2020 15:13:00,04/16/2020 15:46:00,   4096,
    154,                   ,    600,     24,     33,       ,COLD   ,     33,   2.01,   2.33,     78,     33,    140,    182,   5.07,Part ch,       ,04/16/2020 16:09:00,04/16/2020 18:30:00,      0,
    153,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.53,     22,     33,    373,    326,   9.60,Full ch,       ,04/17/2020 16:07:00,04/19/2020 00:04:00,      0,
    152,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.18,   2.56,     15,     33,    479,    167,   5.29,Full ch,       ,04/19/2020 00:04:00,04/20/2020 07:33:00,      0,
    151,                   ,    600,     24,     33,       ,COLD   ,     47,   2.04,   2.60,     22,     33,    364,    352,  10.32,Full ch,       ,04/21/2020 16:15:00,04/22/2020 01:05:00,      0,
    150,                   ,    600,     24,     33,       ,COLD   ,     77,   2.10,   2.48,     31,     33,    103,    110,   3.27,Part ch,       ,04/23/2020 16:15:00,04/23/2020 17:59:00,      0,
    149,                   ,    600,     24,     33,       ,COLD   ,     59,   2.07,   2.58,     22,     33,    256,    224,   6.60,Full ch,       ,04/24/2020 16:13:00,04/26/2020 00:04:00,      0,
    148,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.18,   2.57,     15,     33,    479,    167,   5.32,Full ch,       ,04/26/2020 00:04:00,04/27/2020 07:27:00,      0,
    147,                   ,    600,     24,     33,       ,COLD   ,     45,   2.03,   2.26,     74,     33,     32,     40,   1.13,Part ch,DF1    ,04/29/2020 15:51:00,04/30/2020 07:30:00,      3,
    146,                   ,    600,     24,     33,       ,COLD   ,     31,   2.01,   2.49,     22,     33,    200,    115,   3.41,Full ch,       ,05/01/2020 15:45:00,05/01/2020 20:46:00,      0,
    145,                   ,    600,     24,     33,       ,COLD   ,     31,   2.01,   2.50,     22,     33,    143,     74,   2.24,Full ch,       ,05/04/2020 16:38:00,05/05/2020 09:27:00,      0,
    144,                   ,    600,     24,     33,       ,COLD   ,     37,   2.02,   2.52,     22,     33,     73,     29,   0.89,Full ch,       ,05/05/2020 09:29:00,05/05/2020 11:22:00,      0,
    143,                   ,    600,     24,     33,       ,COLD   ,     44,   2.03,   2.51,     22,     33,     85,     42,   1.27,Full ch,       ,05/05/2020 12:52:00,05/05/2020 14:24:00,      0,
    142,                   ,    600,     24,     33,       ,COLD   ,     46,   2.04,   3.13,      0,     33,     48,     23,   0.71,Full ch,       ,05/05/2020 14:46:00,05/05/2020 15:35:00,  16384,
    141,                   ,    600,     24,     33,       ,COLD   ,     44,   2.03,   2.50,     22,     33,     40,     20,   0.60,Full ch,       ,05/05/2020 15:53:00,05/06/2020 09:30:00,    512,
    140,                   ,    600,     24,     33,       ,COLD   ,     42,   2.03,   2.55,     22,     33,    327,    307,   8.99,Full ch,       ,05/06/2020 21:08:00,05/07/2020 07:27:00,      0,
    139,                   ,    600,     24,     33,       ,COLD   ,     57,   2.06,   2.56,     22,     33,    237,    215,   6.31,Full ch,       ,05/07/2020 16:53:00,05/08/2020 07:29:00,      0,
    138,                   ,    600,     24,     33,       ,COLD   ,     47,   2.04,   2.57,     22,     33,    276,    266,   7.72,Full ch,       ,05/08/2020 16:45:00,05/09/2020 01:06:00,      0,
    137,                   ,    600,     24,     33,       ,COLD   ,     60,   2.07,   2.60,     22,     33,    236,    214,   6.31,Full ch,       ,05/12/2020 01:27:00,05/12/2020 07:27:00,      0,
    136,                   ,    600,     24,     33,       ,COLD   ,      8,   1.96,   2.48,     70,     33,    233,    278,   8.12,Full ch,DF7    ,05/12/2020 16:47:00,05/12/2020 23:09:00,   4352,
    135,                   ,    600,     24,     33,       ,COLD   ,     41,   2.03,   2.48,     40,     33,    342,    208,   6.21,Full ch,DF7    ,05/15/2020 09:13:00,05/16/2020 00:46:00,    256,
    134,                   ,    600,     24,     33,       ,COLD   ,     40,   2.02,   2.48,     42,     33,    228,    159,   4.79,Full ch,DF7    ,05/16/2020 01:03:00,05/17/2020 00:04:00,    256,
    133,                   ,    600,     24,     33,       ,EQUAL  ,     40,   2.02,   2.30,     15,     33,    479,    167,   4.75,Full ch,       ,05/17/2020 00:04:00,05/18/2020 07:48:00,      0,
    132,                   ,    600,     24,     33,       ,COLD   ,     32,   2.01,   2.48,     46,     33,    286,    221,   6.63,Full ch,DF7    ,05/18/2020 13:09:00,05/19/2020 08:13:00,    256,
    131,                   ,    600,     24,     33,       ,COLD   ,     30,   2.00,   2.35,     76,     33,     43,     56,   1.58,Part ch,       ,05/19/2020 13:02:00,05/19/2020 13:47:00,      0,
    130,                   ,    600,     24,     33,       ,COLD   ,     13,   1.97,   2.31,     77,     33,     40,     52,   1.45,Part ch,       ,05/19/2020 15:36:00,05/19/2020 16:17:00,      0,
    129,                   ,    600,     24,     33,       ,COLD   ,     55,   2.06,   2.58,     22,     33,    273,    248,   7.27,Full ch,       ,05/19/2020 16:38:00,05/20/2020 07:28:00,      0,
    128,                   ,    600,     24,     33,       ,COLD   ,     18,   1.98,   2.48,     61,     33,    202,    213,   6.29,Full ch,DF7    ,05/20/2020 16:03:00,05/20/2020 19:50:00,    256,
    127,                   ,    600,     24,     33,       ,COLD   ,      9,   1.97,   2.26,     76,     33,     20,     25,   0.70,Part ch,DF4    ,05/22/2020 14:38:00,05/22/2020 14:59:00,   4096,
    126,                   ,    600,     24,     33,       ,COLD   ,     54,   2.06,   2.37,     77,     33,     88,    113,   3.23,Part ch,       ,05/26/2020 16:17:00,05/26/2020 17:46:00,      0,
    125,                   ,    600,     24,     33,       ,COLD   ,     19,   1.98,   2.58,     22,     33,    473,    462,  13.29,Full ch,       ,05/27/2020 16:23:00,05/28/2020 01:29:00,      0,
    124,                   ,    600,     24,     33,       ,COLD   ,     63,   2.08,   2.37,     76,     33,     73,     94,   2.68,Part ch,       ,05/28/2020 16:33:00,05/28/2020 17:47:00,      0,
    123,                   ,    600,     24,     33,       ,COLD   ,     38,   2.02,   2.58,     22,     33,    404,    384,  11.23,Full ch,DFC    ,05/29/2020 16:03:00,05/29/2020 23:42:00,      2,
    122,                   ,    600,     24,     33,       ,COLD   ,     38,   2.02,   2.56,     22,     33,    400,    376,  10.92,Full ch,       ,06/17/2020 16:18:00,06/18/2020 07:36:00,      0,
    121,                   ,    600,     24,     33,       ,COLD   ,     37,   2.02,   2.49,     48,     33,    115,    112,   3.34,Part ch,       ,06/25/2020 13:10:00,06/25/2020 15:06:00,      0,
    120,                   ,    600,     24,     33,       ,COLD   ,     42,   2.03,   2.48,     64,     33,    114,    119,   3.56,Full ch,DF7    ,06/25/2020 16:10:00,06/26/2020 10:30:00,    256,
    119,                   ,    600,     24,     33,       ,COLD   ,     40,   2.02,   2.48,     59,     33,    184,    181,   5.46,Full ch,DF7    ,06/27/2020 20:16:00,06/28/2020 00:04:00,    256,
    118,                   ,    600,     24,     33,       ,EQUAL  ,     74,   2.10,   2.27,     15,     33,    479,    167,   4.70,Full ch,       ,06/28/2020 00:04:00,06/29/2020 12:37:00,      0,
    117,                   ,    600,     24,     33,       ,COLD   ,     27,   2.00,   2.48,     56,     33,    173,    153,   4.63,Full ch,DF7    ,06/30/2020 14:12:00,06/30/2020 21:13:00,    256,
