Type               ,Version            ,S/N                ,Region             ,
LT24V160A          ,P3.4               ,PI504427           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     70,OPP    ,      0,      0,    5.0,  2.250,   27.0,      4,      0,     64,    3.1,     50,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   3968,  59237, -55269,   5907,     54,      0,     22,      0,    276,    595,  20322,     34,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    600,     24,     69,       ,OPP    ,     79,   2.11,   2.44,     30,     69,     88,     84,   2.47,Full ch,       ,02/16/2022 17:18:00,02/16/2022 21:47:00,      0,
    199,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.43,     30,     69,    102,    107,   3.11,Full ch,       ,02/17/2022 01:27:00,02/17/2022 07:02:00,      0,
    198,                   ,    600,     24,     69,       ,OPP    ,     92,   2.13,   2.44,     32,     69,      2,      1,   0.05,Full ch,       ,02/17/2022 07:03:00,02/17/2022 07:06:00,      0,
    197,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.43,     30,     69,    135,    145,   4.24,Full ch,       ,02/17/2022 16:44:00,02/18/2022 06:59:00,      0,
    196,                   ,    600,     24,     69,       ,OPP    ,     28,   2.00,   2.43,     30,     69,    191,    211,   6.10,Full ch,       ,02/18/2022 16:50:00,02/19/2022 07:01:00,      0,
    195,                   ,    600,     24,     69,       ,OPP    ,     35,   2.01,   2.43,     30,     69,    173,    179,   5.18,Full ch,       ,02/19/2022 16:39:00,02/20/2022 00:04:00,      0,
    194,                   ,    600,     24,     69,       ,EQUAL  ,     99,   2.16,   2.55,     15,     69,    479,    167,   5.20,Full ch,       ,02/20/2022 00:04:00,02/21/2022 07:03:00,      0,
    193,                   ,    600,     24,     69,       ,OPP    ,     36,   2.02,   2.38,     80,     69,     21,     28,   0.80,Part ch,       ,02/21/2022 11:39:00,02/21/2022 12:01:00,      0,
    192,                   ,    600,     24,     69,       ,OPP    ,     48,   2.04,   2.38,     80,     69,     30,     40,   1.17,Part ch,       ,02/21/2022 16:47:00,02/21/2022 17:17:00,      0,
    191,                   ,    600,     24,     69,       ,OPP    ,     99,   2.18,   2.43,     30,     69,    112,    112,   3.28,Full ch,       ,02/21/2022 17:18:00,02/22/2022 00:15:00,      0,
    190,                   ,    600,     24,     69,       ,OPP    ,     21,   1.99,   2.43,     30,     69,    183,    187,   5.44,Full ch,       ,02/22/2022 00:34:00,02/22/2022 07:06:00,      0,
    189,                   ,    600,     24,     69,       ,OPP    ,     95,   2.14,   2.43,     30,     69,      3,      2,   0.06,Full ch,       ,02/22/2022 07:06:00,02/22/2022 08:42:00,      0,
    188,                   ,    600,     24,     69,       ,OPP    ,     37,   2.02,   2.44,     31,     69,    164,    182,   5.26,Full ch,       ,02/22/2022 16:47:00,02/22/2022 22:58:00,      0,
    187,                   ,    600,     24,     69,       ,OPP    ,     57,   2.07,   2.43,     30,     69,     82,     80,   2.36,Full ch,       ,02/23/2022 02:31:00,02/23/2022 07:01:00,      0,
    186,                   ,    600,     24,     69,       ,OPP    ,     67,   2.08,   2.43,     49,     69,      8,      9,   0.26,Part ch,       ,02/23/2022 08:00:00,02/23/2022 08:09:00,      0,
    185,                   ,    600,     24,     69,       ,OPP    ,     30,   2.00,   2.43,     30,     69,    180,    200,   5.79,Full ch,       ,02/23/2022 16:39:00,02/23/2022 22:16:00,      0,
    184,                   ,    600,     24,     69,       ,OPP    ,     99,   2.17,   2.43,     30,     69,      3,      2,   0.06,Full ch,       ,02/23/2022 22:19:00,02/24/2022 07:01:00,      0,
    183,                   ,    600,     24,     69,       ,OPP    ,     58,   2.07,   2.43,     30,     69,     35,     32,   0.95,Full ch,       ,02/24/2022 14:21:00,02/24/2022 15:34:00,      0,
    182,                   ,    600,     24,     69,       ,OPP    ,     29,   2.00,   2.35,     75,     69,     52,     69,   1.96,Part ch,       ,02/24/2022 16:43:00,02/24/2022 17:35:00,      0,
    181,                   ,    600,     24,     69,       ,OPP    ,     99,   2.15,   2.43,     30,     69,    124,    127,   3.73,Full ch,       ,02/24/2022 17:36:00,02/24/2022 22:29:00,      0,
    180,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.43,     30,     69,     83,     85,   2.49,Full ch,       ,02/25/2022 02:10:00,02/25/2022 07:01:00,      0,
    179,                   ,    600,     24,     69,       ,OPP    ,     17,   1.98,   2.43,     30,     69,    195,    223,   6.40,Full ch,       ,02/25/2022 12:39:00,02/25/2022 16:48:00,      0,
    178,                   ,    600,     24,     69,       ,OPP    ,     36,   2.02,   2.43,     30,     69,    156,    167,   4.80,Full ch,       ,02/26/2022 02:47:00,02/27/2022 00:04:00,      0,
    177,                   ,    600,     24,     69,       ,EQUAL  ,     98,   2.14,   2.57,     15,     69,    479,    167,   5.26,Full ch,       ,02/27/2022 00:04:00,02/28/2022 06:59:00,      0,
    176,                   ,    600,     24,     69,       ,OPP    ,     49,   2.04,   2.43,     30,     69,    119,    131,   3.82,Full ch,       ,02/28/2022 10:08:00,02/28/2022 14:15:00,      0,
    175,                   ,    600,     24,     69,       ,OPP    ,     57,   2.06,   2.43,     30,     69,     95,    102,   2.99,Full ch,       ,02/28/2022 16:42:00,03/01/2022 07:00:00,      0,
    174,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.39,     80,     69,     23,     31,   0.90,Part ch,       ,03/01/2022 10:07:00,03/01/2022 10:31:00,      0,
    173,                   ,    600,     24,     69,       ,OPP    ,     31,   2.01,   2.36,     80,     69,     59,     79,   2.24,Part ch,       ,03/01/2022 13:19:00,03/01/2022 14:19:00,      0,
    172,                   ,    600,     24,     69,       ,OPP    ,     39,   2.02,   2.43,     30,     69,    126,    142,   4.11,Full ch,       ,03/01/2022 16:21:00,03/01/2022 20:10:00,      0,
    171,                   ,    600,     24,     69,       ,OPP    ,     38,   2.02,   2.43,     30,     69,    133,    152,   4.39,Full ch,       ,03/02/2022 01:48:00,03/02/2022 07:01:00,      0,
    170,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.43,     30,     69,     25,     22,   0.65,Full ch,       ,03/02/2022 11:00:00,03/02/2022 11:59:00,      0,
    169,                   ,    600,     24,     69,       ,OPP    ,     34,   2.01,   2.34,     80,     69,     53,     70,   1.99,Part ch,       ,03/02/2022 12:47:00,03/02/2022 13:40:00,      0,
    168,                   ,    600,     24,     69,       ,OPP    ,     44,   2.03,   2.43,     30,     69,     61,     67,   1.94,Full ch,       ,03/02/2022 14:22:00,03/02/2022 15:27:00,      0,
    167,                   ,    600,     24,     69,       ,OPP    ,     57,   2.07,   2.43,     65,     69,      8,     11,   0.32,Part ch,       ,03/02/2022 16:38:00,03/02/2022 16:47:00,      0,
