Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V240A          ,P3.4               ,RA518167           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.7,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   4230,  60293, -56063,   6844,     43,      0,     10,      0,    286,    772,  20659,    135,   1536,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.46,     43,     50,    184,    367,  16.25,Full ch,       ,05/02/2016 14:08:16,05/02/2016 17:56:16,      0,NO     ,
    299,                   ,       ,     36,     50,       ,COLD   ,     21,   1.99,   2.29,    154,     50,     36,     86,   3.59,Part ch,       ,05/03/2016 01:13:16,05/03/2016 01:48:16,      0,YES    ,
    298,                   ,       ,     36,     50,       ,COLD   ,      5,   1.92,   2.27,    159,     50,     40,     77,   3.12,Part ch,DF4    ,05/03/2016 03:44:16,05/03/2016 04:24:16,   4096,YES    ,
    297,                   ,    875,     36,     50,       ,OPP    ,     12,   1.97,   2.33,    154,     50,     50,    127,   5.30,Part ch,       ,05/03/2016 04:41:16,05/03/2016 05:30:16,      0,NO     ,
    296,                   ,    875,     36,     50,       ,OPP    ,     21,   1.99,   2.39,    150,     50,     71,    181,   7.70,Part ch,       ,05/03/2016 06:58:16,05/03/2016 08:08:16,      0,NO     ,
    295,                   ,    875,     36,     50,       ,OPP    ,     36,   2.02,   2.41,    154,     50,     60,    154,   6.60,Part ch,       ,05/03/2016 09:55:16,05/03/2016 10:55:16,      0,NO     ,
    294,                   ,    875,     36,     50,       ,OPP    ,     56,   2.06,   2.47,     43,     50,    193,    328,  14.59,Full ch,       ,05/03/2016 13:37:16,05/03/2016 17:56:16,      0,NO     ,
    293,                   ,       ,     36,     50,       ,COLD   ,     19,   1.98,   2.37,    154,     50,    115,    289,  12.15,Part ch,       ,05/04/2016 03:05:16,05/04/2016 04:59:16,      0,YES    ,
    292,                   ,    875,     36,     50,       ,OPP    ,     36,   2.02,   2.32,    154,     50,     38,     97,   4.08,Part ch,       ,05/04/2016 07:44:16,05/04/2016 08:22:16,      0,YES    ,
    291,                   ,    875,     36,     50,       ,OPP    ,     36,   2.02,   2.37,    155,     50,     65,    166,   7.05,Part ch,       ,05/04/2016 09:16:16,05/04/2016 10:21:16,      0,YES    ,
    290,                   ,    875,     36,     50,       ,OPP    ,     27,   2.00,   2.47,     43,     50,    224,    424,  18.62,Full ch,       ,05/04/2016 13:30:16,05/04/2016 17:57:16,      0,NO     ,
    289,                   ,       ,     36,     50,       ,COLD   ,     27,   2.00,   2.37,    155,     50,    109,    275,  11.58,Part ch,       ,05/05/2016 01:14:16,05/05/2016 03:03:16,      0,YES    ,
    288,                   ,    875,     36,     50,       ,OPP    ,     66,   2.08,   2.38,    160,     50,     12,     30,   1.31,Part ch,       ,05/05/2016 04:47:16,05/05/2016 04:59:16,      0,NO     ,
    287,                   ,    875,     36,     50,       ,OPP    ,     47,   2.04,   2.39,    154,     50,     56,    144,   6.17,Part ch,       ,05/05/2016 07:26:16,05/05/2016 08:23:16,      0,YES    ,
    286,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.47,     44,     50,    150,    287,  12.75,Full ch,       ,05/05/2016 10:49:16,05/05/2016 17:59:16,      0,NO     ,
    285,                   ,       ,     36,     50,       ,COLD   ,     20,   1.99,   2.38,    154,     50,    107,    270,  11.40,Part ch,       ,05/06/2016 01:28:16,05/06/2016 03:15:16,      0,YES    ,
    284,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.44,    153,     50,     58,    148,   6.37,Part ch,       ,05/06/2016 04:48:16,05/06/2016 05:45:16,      0,NO     ,
    283,                   ,    875,     36,     50,       ,OPP    ,     46,   2.04,   2.38,    154,     50,     46,    118,   5.06,Part ch,       ,05/06/2016 07:37:16,05/06/2016 08:23:16,      0,YES    ,
    282,                   ,    875,     36,     50,       ,OPP    ,     37,   2.02,   2.31,    159,     50,     13,     31,   1.33,Part ch,       ,05/06/2016 11:46:16,05/06/2016 11:58:16,      0,YES    ,
    281,                   ,    875,     36,     50,       ,OPP    ,     37,   2.02,   2.33,    153,     50,     26,     66,   2.78,Part ch,       ,05/06/2016 12:23:16,05/06/2016 12:49:16,      0,YES    ,
    280,                   ,    875,     36,     50,       ,OPP    ,     34,   2.01,   2.47,     43,     50,    168,    321,  14.13,Full ch,       ,05/06/2016 13:22:16,05/06/2016 19:47:16,      0,NO     ,
    279,                   ,    875,     36,     50,       ,OPP    ,     31,   2.01,   2.36,    155,     50,     62,    160,   6.77,Part ch,       ,05/07/2016 04:49:16,05/07/2016 05:51:16,      0,YES    ,
    278,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.47,     44,     50,    177,    339,  15.01,Full ch,       ,05/07/2016 09:25:16,05/07/2016 20:02:16,      0,NO     ,
    277,                   ,       ,     36,     50,       ,COLD   ,     82,   2.11,   2.54,     37,     50,    116,    107,   4.78,Full ch,       ,05/07/2016 23:52:16,05/08/2016 01:52:16,      0,NO     ,
    276,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.44,   2.45,     24,     50,    480,    272,  12.38,Full ch,       ,05/08/2016 01:52:16,05/08/2016 18:05:16,      0,NO     ,
    275,                   ,       ,     36,     50,       ,COLD   ,     15,   1.98,   2.32,    154,     50,     48,    118,   4.93,Part ch,       ,05/09/2016 00:37:16,05/09/2016 01:25:16,      0,YES    ,
    274,                   ,    875,     36,     50,       ,OPP    ,      5,   1.95,   2.35,    155,     50,     87,    224,   9.44,Part ch,       ,05/09/2016 04:46:16,05/09/2016 06:13:16,      0,YES    ,
    273,                   ,    875,     36,     50,       ,OPP    ,     45,   2.03,   2.34,    155,     50,     38,     96,   4.06,Part ch,       ,05/09/2016 07:50:16,05/09/2016 08:27:16,      0,YES    ,
    272,                   ,    875,     36,     50,       ,OPP    ,     48,   2.04,   2.40,    155,     50,     65,    166,   7.08,Part ch,       ,05/09/2016 09:11:16,05/09/2016 10:16:16,      0,YES    ,
    271,                   ,    875,     36,     50,       ,OPP    ,     60,   2.07,   2.47,     44,     50,    100,    188,   8.32,Full ch,       ,05/09/2016 13:23:16,05/09/2016 17:57:16,      0,NO     ,
    270,                   ,       ,     36,     50,       ,COLD   ,     15,   1.98,   2.31,    154,     50,     45,    109,   4.54,Part ch,       ,05/10/2016 01:19:16,05/10/2016 02:04:16,      0,YES    ,
    269,                   ,    875,     36,     50,       ,OPP    ,      5,   1.96,   2.32,    154,     50,     57,    147,   6.14,Part ch,       ,05/10/2016 05:31:16,05/10/2016 06:28:16,      0,YES    ,
    268,                   ,    875,     36,     50,       ,OPP    ,     39,   2.02,   2.27,    160,     50,      5,     10,   0.41,Part ch,       ,05/10/2016 07:23:16,05/10/2016 07:27:16,      0,NO     ,
    267,                   ,    875,     36,     50,       ,OPP    ,     43,   2.03,   2.33,    154,     50,     39,    100,   4.21,Part ch,       ,05/10/2016 07:40:16,05/10/2016 08:20:16,      0,YES    ,
    266,                   ,    875,     36,     50,       ,OPP    ,     33,   2.01,   2.35,    155,     50,     58,    148,   6.25,Part ch,       ,05/10/2016 09:22:16,05/10/2016 10:19:16,      0,YES    ,
    265,                   ,    875,     36,     50,       ,OPP    ,     57,   2.07,   2.47,     45,     50,    185,    363,  16.09,Full ch,       ,05/10/2016 13:58:16,05/10/2016 17:09:16,      0,NO     ,
    264,                   ,       ,     36,     50,       ,COLD   ,     35,   2.01,   2.35,    154,     50,     60,    147,   6.21,Part ch,       ,05/11/2016 03:08:16,05/11/2016 04:07:16,      0,YES    ,
    263,                   ,    875,     36,     50,       ,OPP    ,     60,   2.07,   2.45,    152,     50,     65,    167,   7.27,Part ch,       ,05/11/2016 04:47:16,05/11/2016 05:52:16,      0,NO     ,
    262,                   ,    875,     36,     50,       ,OPP    ,     46,   2.04,   2.47,     43,     50,    164,    315,  13.96,Full ch,       ,05/11/2016 14:10:16,05/11/2016 18:00:16,      0,NO     ,
    261,                   ,    875,     36,     50,       ,OPP    ,     23,   1.99,   2.34,    144,     50,     74,    184,   7.79,Part ch,       ,05/12/2016 04:29:16,05/12/2016 05:43:16,      0,YES    ,
    260,                   ,    875,     36,     50,       ,OPP    ,     22,   1.99,   2.47,     43,     50,    209,    413,  18.20,Full ch,       ,05/12/2016 13:32:16,05/12/2016 17:56:16,      0,NO     ,
    259,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     40,   2.02,   2.40,    150,     50,     75,    188,   8.05,Part ch,       ,05/13/2016 04:39:16,05/13/2016 05:54:16,      0,YES    ,
    258,                   ,    875,     36,     50,       ,OPP    ,     56,   2.06,   2.42,    148,     50,     60,    152,   6.61,Part ch,       ,05/13/2016 09:17:16,05/13/2016 10:16:16,      0,YES    ,
    257,                   ,    875,     36,     50,       ,OPP    ,     58,   2.07,   2.47,     43,     50,    117,    185,   8.23,Full ch,       ,05/13/2016 13:35:16,05/13/2016 22:00:16,      0,NO     ,
    256,                   ,       ,     36,     50,       ,COLD   ,     99,   2.18,   2.18,      0,     50,      3,      1,   0.08,Full ch,       ,05/13/2016 22:00:16,05/15/2016 00:04:16,      0,NO     ,
    255,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.18,   2.49,     24,     50,    480,    272,  12.72,Full ch,       ,05/15/2016 00:04:16,05/15/2016 19:43:16,      0,NO     ,
    254,                   ,       ,     36,     50,       ,COLD   ,     10,   1.97,   2.36,    153,     50,     62,    153,   6.45,Part ch,       ,05/16/2016 03:02:16,05/16/2016 04:04:16,      0,YES    ,
    253,                   ,    875,     36,     50,       ,OPP    ,     50,   2.04,   2.47,     43,     50,    187,    367,  16.19,Full ch,       ,05/16/2016 04:41:16,05/16/2016 17:53:16,      0,NO     ,
    252,                   ,       ,     36,     50,       ,COLD   ,     30,   2.01,   2.38,    153,     50,     73,    181,   7.67,Part ch,       ,05/17/2016 02:54:16,05/17/2016 04:07:16,      0,YES    ,
    251,                   ,    875,     36,     50,       ,OPP    ,     52,   2.06,   2.47,     43,     50,    185,    348,  15.40,Full ch,       ,05/17/2016 04:52:16,05/17/2016 09:46:16,      0,NO     ,
    250,                   ,    875,     36,     50,       ,OPP    ,     90,   2.13,   2.47,     44,     50,     27,     32,   1.44,Full ch,       ,05/17/2016 09:59:16,05/17/2016 19:44:16,      0,NO     ,
    249,                   ,       ,     36,     50,       ,COLD   ,      5,   1.96,   2.45,     83,     50,    145,    333,  14.39,Part ch,DF4    ,05/17/2016 23:58:16,05/18/2016 02:23:16,   4096,YES    ,
    248,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.46,    152,     50,     54,    137,   5.94,Part ch,       ,05/18/2016 04:43:16,05/18/2016 05:37:16,      0,NO     ,
    247,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     23,   1.99,   2.47,     44,     50,    232,    526,  22.74,Full ch,       ,05/18/2016 05:47:16,05/18/2016 10:46:16,      0,NO     ,
    246,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.47,     43,     50,    192,    360,  15.88,Full ch,       ,05/18/2016 13:36:16,05/18/2016 17:53:16,      0,NO     ,
    245,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     50,   2.04,   2.31,    158,     50,     17,     42,   1.77,Part ch,       ,05/19/2016 00:06:16,05/19/2016 00:22:16,      0,YES    ,
    244,                   ,       ,     36,     50,       ,COLD   ,     19,   1.98,   2.35,    153,     50,     61,    151,   6.33,Part ch,       ,05/19/2016 03:04:16,05/19/2016 04:05:16,      0,YES    ,
    243,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.41,    150,     50,     56,    141,   6.08,Part ch,       ,05/19/2016 04:51:16,05/19/2016 05:47:16,      0,NO     ,
    242,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     37,   2.02,   2.47,    124,     50,    144,    354,  15.32,Part ch,       ,05/19/2016 05:54:16,05/19/2016 08:19:16,      0,YES    ,
    241,                   ,    875,     36,     50,       ,OPP    ,     43,   2.03,   2.47,     43,     50,    184,    336,  14.87,Full ch,       ,05/19/2016 13:45:16,05/19/2016 17:54:16,      0,NO     ,
    240,                   ,       ,     36,     50,       ,COLD   ,     36,   2.02,   2.33,    154,     50,     32,     76,   3.21,Part ch,       ,05/19/2016 23:49:16,05/20/2016 00:21:16,      0,YES    ,
    239,                   ,       ,     36,     50,       ,COLD   ,     14,   1.97,   2.38,    149,     50,     85,    207,   8.74,Part ch,       ,05/20/2016 02:04:16,05/20/2016 03:28:16,      0,YES    ,
    238,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     38,   2.02,   2.34,    149,     50,     61,    151,   6.41,Part ch,       ,05/20/2016 04:52:16,05/20/2016 05:54:16,      0,YES    ,
    237,                   ,    875,     36,     50,       ,OPP    ,     39,   2.02,   2.31,    149,     50,     27,     67,   2.83,Part ch,       ,05/20/2016 10:14:16,05/20/2016 10:41:16,      0,YES    ,
    236,                   ,    875,     36,     50,       ,OPP    ,     44,   2.03,   2.47,     43,     50,    216,    386,  17.07,Full ch,       ,05/20/2016 13:50:16,05/20/2016 19:47:16,      0,NO     ,
    235,                   ,    875,     36,     50,       ,OPP    ,      5,   1.95,   2.35,    150,     50,     55,    138,   5.82,Part ch,       ,05/21/2016 04:43:16,05/21/2016 05:38:16,      0,YES    ,
    234,                   ,    875,     36,     50,       ,OPP    ,     66,   2.08,   2.47,    119,     50,     49,    119,   5.27,Part ch,       ,05/21/2016 07:29:16,05/21/2016 08:18:16,      0,YES    ,
    233,                   ,    875,     36,     50,       ,OPP    ,     32,   2.01,   2.47,     44,     50,    193,    371,  16.31,Full ch,       ,05/21/2016 12:07:16,05/21/2016 22:00:16,      0,NO     ,
    232,                   ,       ,     36,     50,       ,COLD   ,     99,   2.18,   2.43,     38,     50,      4,      2,   0.10,Full ch,       ,05/21/2016 22:00:16,05/22/2016 00:04:16,      0,NO     ,
    231,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.18,   2.47,     24,     50,    480,    272,  12.44,Full ch,       ,05/22/2016 00:04:16,05/22/2016 19:45:16,      0,NO     ,
    230,                   ,       ,     36,     50,       ,COLD   ,     32,   2.01,   2.37,    149,     50,     62,    150,   6.39,Part ch,       ,05/23/2016 03:06:16,05/23/2016 04:08:16,      0,YES    ,
    229,                   ,    875,     36,     50,       ,OPP    ,     57,   2.07,   2.38,    154,     50,     28,     70,   3.01,Part ch,       ,05/23/2016 04:48:16,05/23/2016 05:15:16,      0,NO     ,
    228,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     31,   2.01,   2.42,    149,     50,     71,    176,   7.59,Part ch,       ,05/23/2016 05:46:16,05/23/2016 06:57:16,      0,YES    ,
    227,                   ,    875,     36,     50,       ,OPP    ,     47,   2.04,   2.46,     44,     50,    182,    349,  15.42,Full ch,       ,05/23/2016 13:50:16,05/23/2016 17:55:16,      0,NO     ,
    226,                   ,       ,     36,     50,       ,COLD   ,     13,   1.97,   2.34,    149,     50,     83,    203,   8.51,Part ch,       ,05/24/2016 03:00:16,05/24/2016 04:22:16,      0,YES    ,
    225,                   ,    875,     36,     50,       ,OPP    ,     57,   2.07,   2.38,    154,     50,     20,     48,   2.09,Part ch,       ,05/24/2016 04:49:16,05/24/2016 05:09:16,      0,NO     ,
    224,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,      5,   1.90,   2.26,    154,     50,     21,     50,   2.08,Part ch,       ,05/24/2016 05:19:16,05/24/2016 05:40:16,      0,YES    ,
    223,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     29,   2.00,   2.29,    149,     50,     43,    106,   4.39,Part ch,       ,05/24/2016 05:51:16,05/24/2016 06:34:16,      0,NO     ,
    222,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     32,   2.01,   2.29,    154,     50,     24,     57,   2.38,Part ch,       ,05/24/2016 07:55:16,05/24/2016 08:18:16,      0,NO     ,
    221,                   ,    875,     36,     50,       ,OPP    ,      5,   1.93,   2.14,    113,     50,      2,      1,   0.06,Part ch,       ,05/24/2016 09:44:16,05/24/2016 09:45:16,      0,NO     ,
    220,                   ,    875,     36,     50,       ,OPP    ,      5,   1.82,   2.33,    150,     50,     59,    149,   6.25,Part ch,       ,05/24/2016 10:03:16,05/24/2016 11:01:16,      0,NO     ,
    219,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     50,   2.05,   2.47,     44,     50,    245,    490,  21.43,Full ch,       ,05/24/2016 13:24:16,05/24/2016 19:40:16,      0,NO     ,
    218,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     52,   2.06,   2.34,    153,     50,     32,     82,   3.47,Part ch,       ,05/24/2016 23:48:16,05/25/2016 00:19:16,      0,YES    ,
    217,                   ,       ,     36,     50,       ,COLD   ,     50,   2.05,   2.34,    154,     50,     37,     87,   3.67,Part ch,       ,05/25/2016 00:46:16,05/25/2016 01:23:16,      0,YES    ,
    216,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     33,   2.01,   2.29,    159,     50,     11,     25,   1.06,Part ch,       ,05/25/2016 04:48:16,05/25/2016 04:59:16,      0,YES    ,
    215,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.31,    154,     50,     15,     36,   1.54,Part ch,       ,05/25/2016 05:01:16,05/25/2016 05:15:16,      0,NO     ,
    214,                   ,    875,     36,     50,       ,OPP    ,     52,   2.06,   2.39,    150,     50,     40,     99,   4.25,Part ch,       ,05/25/2016 05:22:16,05/25/2016 06:02:16,      0,NO     ,
    213,                   ,    875,     36,     50,       ,OPP    ,     25,   2.00,   2.28,    155,     50,     12,     28,   1.15,Part ch,       ,05/25/2016 06:34:16,05/25/2016 06:45:16,      0,YES    ,
    212,                   ,    875,     36,     50,       ,OPP    ,      5,   1.91,   2.32,    150,     50,     58,    146,   6.11,Part ch,       ,05/25/2016 07:23:16,05/25/2016 08:21:16,      0,YES    ,
    211,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     64,   2.08,   2.32,    159,     50,      4,      6,   0.25,Part ch,       ,05/25/2016 08:28:16,05/25/2016 08:32:16,      0,NO     ,
    210,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.47,     45,     50,    197,    357,  15.82,Full ch,       ,05/25/2016 14:24:16,05/25/2016 17:54:16,      0,NO     ,
    209,                   ,       ,     36,     50,       ,COLD   ,      5,   1.89,   2.38,    149,     50,    116,    268,  11.27,Part ch,DF4    ,05/26/2016 00:08:16,05/26/2016 02:03:16,   4096,YES    ,
    208,                   ,       ,     36,     50,       ,COLD   ,     50,   2.05,   2.39,    149,     50,     42,    101,   4.33,Part ch,       ,05/26/2016 03:08:16,05/26/2016 03:49:16,      0,YES    ,
    207,                   ,    875,     36,     50,       ,OPP    ,     56,   2.06,   2.34,    159,     50,      7,     15,   0.64,Part ch,       ,05/26/2016 04:47:16,05/26/2016 04:53:16,      0,NO     ,
    206,                   ,    875,     36,     50,       ,OPP    ,     21,   1.99,   2.47,    145,     50,     99,    248,  10.72,Part ch,       ,05/26/2016 06:21:16,05/26/2016 08:00:16,      0,NO     ,
    205,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.46,    147,     50,     52,    129,   5.65,Part ch,       ,05/26/2016 10:09:16,05/26/2016 11:00:16,      0,NO     ,
    204,                   ,    875,     36,     50,       ,OPP    ,     48,   2.04,   2.47,     43,     50,    196,    334,  14.79,Full ch,       ,05/26/2016 14:43:16,05/26/2016 18:20:16,      0,NO     ,
    203,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     37,   2.02,   2.32,    154,     50,     23,     59,   2.49,Part ch,       ,05/26/2016 22:40:16,05/26/2016 23:03:16,      0,NO     ,
    202,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     56,   2.06,   2.38,    149,     50,     64,    158,   6.77,Part ch,       ,05/26/2016 23:11:16,05/27/2016 00:14:16,      0,YES    ,
    201,                   ,    875,     36,     50,       ,OPP    ,     72,   2.09,   2.42,    154,     50,     22,     55,   2.42,Part ch,       ,05/27/2016 04:52:16,05/27/2016 05:14:16,      0,NO     ,
