Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V240A          ,P3.4               ,RA518168           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    4.0,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   6646,  62133, -55487,   6959,     30,      0,     17,     13,    287,    884,  20664,     87,   1634,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    273,                   ,    875,     36,     50,       ,OPP    ,     19,   1.98,   2.39,    139,     50,     89,    209,   8.87,Part ch,       ,03/18/2022 15:22:16,03/18/2022 16:50:16,      0,YES    ,
    272,                   ,    875,     36,     50,       ,OPP    ,     61,   2.07,   2.47,     43,     50,    157,    256,  11.37,Full ch,       ,03/18/2022 17:50:16,03/18/2022 22:00:16,      0,NO     ,
    271,                   ,       ,     36,     50,       ,COLD   ,     99,   2.21,   2.43,     25,     50,    203,     92,   4.06,Full ch,       ,03/18/2022 22:00:16,03/19/2022 03:56:16,      0,NO     ,
    270,                   ,    875,     36,     50,       ,OPP    ,      5,   1.89,   2.47,     43,     50,    329,    575,  25.16,Full ch,       ,03/19/2022 07:10:16,03/19/2022 14:13:16,      0,NO     ,
    269,                   ,    875,     36,     50,       ,OPP    ,     98,   2.14,   2.48,     89,     50,     10,     18,   0.83,Part ch,       ,03/19/2022 14:27:16,03/19/2022 14:37:16,      0,NO     ,
    268,                   ,    875,     36,     50,       ,OPP    ,     71,   2.09,   2.47,     43,     50,    121,    197,   8.74,Full ch,       ,03/19/2022 18:13:16,03/19/2022 22:00:16,      0,NO     ,
    267,                   ,       ,     36,     50,       ,COLD   ,     99,   2.20,   2.45,     25,     50,    116,     51,   2.27,Full ch,       ,03/19/2022 22:00:16,03/20/2022 00:04:16,      0,NO     ,
    266,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.25,   2.41,     16,     50,    480,    181,   8.01,Full ch,       ,03/20/2022 00:04:16,03/21/2022 03:40:16,      0,NO     ,
    265,                   ,    875,     36,     50,       ,OPP    ,      6,   1.96,   2.47,     54,     50,    146,    323,  14.06,Part ch,       ,03/21/2022 07:25:16,03/21/2022 09:51:16,      0,YES    ,
    264,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     45,   2.03,   2.46,     44,     50,    147,    305,  13.43,Full ch,       ,03/21/2022 09:52:16,03/21/2022 14:44:16,      0,NO     ,
